Country,period,Regulatory capital to risk-weighted assets,Tier 1 capital to risk-weighted assets,Capital and Reserves/Total Deposits,Bank leverage,Loans/Deposit,Liquid Assets to Short Term Liabilities,Total value of mortgage loans,Interest rate,Inflation,Unemployment,GDP growth,Oil Prices,Government Spending,M2 Growth,M3 Growth,Outstanding of Total Debt Securities (rate of change Q-to-Q),Reserve Assets,Total Bank assets,Net NPL ratio,ROA,ROE,Liquid assets to short-term liabilities,Interest Margin to gross income,Bank leverage,Retail real estate loans proportion of total real estate loans,Retail Real estate loan proportion of total loans,Housing Prices
Saudi Arabia,Q1 2009,15.5,13.9,12.6,7.5,,36.1,"SAR 18,167.00",1.36,2.24,,,44.22259091,14.14,2.91,3.93,-4.99303,"SAR 1,558,433.00","SAR 1,323,925.91",1.64,2.47,18.72,24.5,57,7.55,0.41,0.025,
Saudi Arabia,Q2 2009,16.1,14,12.4,7.4,,34.8,"SAR 23,708.00",0.89,2.115,,,58.86683983,-5.69,0.98,3.76,0.00333,"SAR 1,474,778.16","SAR 1,337,681.19",4.22,2.36,17.72,24.2,72.6,7.36,0.48,0.032,
Saudi Arabia,Q3 2009,16.2,13.7,12.1,7.2,,35.1,"SAR 25,341.00",0.65,4.924,,,68.33647814,-2.06,-0.11,-0.2,0,"SAR 1,444,821.50","SAR 1,350,961.70",7.6,1.91,14.14,24.1,72.4,7.23,0.49,0.034,
Saudi Arabia,Q4 2009,16.9,14.6,11.9,7.2,,36.5,"SAR 28,211.00",0.75,6.448,5.3769475,,74.89828942,8.31,2.63,2.9,-0.01333,"SAR 1,537,906.00","SAR 1,370,258.11",6.41,1.97,14.48,25.3,73.1,7.19,0.52,0.038,
Saudi Arabia,Q1 2010,16.9,15.3,13.3,7.3,,34.1,"SAR 26,452.00",0.76,4.455,5.4196785,,76.67483713,8.38,1.28,-1.79,-25.76806,"SAR 1,575,886.14","SAR 1,377,418.43",5.7,2.07,14.65,23.1,69.2,7.26,0.51,0.035,
Saudi Arabia,Q2 2010,17.1,15.2,13.2,7,,33.3,"SAR 28,729.00",0.73,5.173,5.4624095,3.1,78.84503608,14.76,2.95,2.48,-0.00449,"SAR 1,579,159.36","SAR 1,381,703.12",4.43,2.13,14.92,23.1,69.2,7.03,0.52,0.038,
Saudi Arabia,Q3 2010,17.2,15,13.1,6.9,,32.7,"SAR 31,166.00",0.72,7.754,5.5051405,1.2,76.675,6.16,0.96,1.48,0,"SAR 1,599,694.27","SAR 1,376,112.45",3.35,2,13.84,22.9,69.8,6.86,0.55,0.04,
Saudi Arabia,Q4 2010,17.6,15.4,12.6,6.9,,37.2,"SAR 32,978.00",0.73,5.309,5.5478715,5.7,87.03316017,17.74,3.87,2.8,0.00449,"SAR 1,669,262.30","SAR 1,415,267.12",3.41,1.96,13.56,24.8,70.3,6.93,0.55,0.043,
Saudi Arabia,Q1 2011,17.3,15.7,13.2,7.3,,40.1,"SAR 34,064.00",0.75,9.826,5.6037855,2.8,105.3694241,36.76,7.58,7.55,-18.86326,"SAR 1,762,225.29","SAR 1,494,898.07",2.46,2.18,15.25,25.4,67.6,7.32,0.56,0.043,
Saudi Arabia,Q2 2011,17.3,15.2,12.7,7.3,,39.5,"SAR 37,510.00",0.71,3.049,5.6596995,1.6,117.5419048,39.79,3.51,2.26,0,"SAR 1,885,693.51","SAR 1,526,366.35",1.9,2.22,15.6,25,67.8,7.29,0.57,0.046,
Saudi Arabia,Q3 2011,17.3,14.7,12.4,7.2,,37.6,"SAR 40,199.00",0.6,3.026,5.7156135,2,113.2669477,39.06,0.45,0.99,-0.00554,"SAR 1,975,530.46","SAR 1,532,025.04",1.61,2.18,15.3,23.9,68,7.17,0.58,0.048,
Saudi Arabia,Q4 2011,17.6,15.2,12.1,7.1,,37,"SAR 42,314.00",0.71,2.859,5.7715275,1.7,109.9786291,-15.86,4.34,3.29,0.00554,"SAR 2,040,055.28","SAR 1,568,655.55",1.86,2.14,14.99,23.7,68.7,7.12,0.6,0.049,
Saudi Arabia,Q1 2012,17.3,15.6,13.2,7.2,,35.6,"SAR 45,576.00",0.83,1.27,5.74695,1.5,118.4279654,-1.63,3.93,4.14,-38.1556,"SAR 2,136,385.86","SAR 1,628,354.06",2.45,2.41,17.03,23,63.4,7.25,0.59,0.051,
Saudi Arabia,Q2 2012,17,14.7,12.8,7.2,,34.6,"SAR 47,744.00",0.91,3.259,5.7223725,1.1,109.0604072,-3.88,0.93,0.82,0,"SAR 2,250,627.69","SAR 1,648,091.61",1.55,1.4,9.79,22.1,63.8,7.2,0.59,0.051,
Saudi Arabia,Q3 2012,17.6,15,12.5,7.1,,33.1,"SAR 48,946.00",0.95,4.089,5.6232337,1.8,110.1338267,43.35,-0.18,1.95,0,"SAR 2,330,037.17","SAR 1,676,594.63",1.54,2.23,15.66,21.3,65,7.11,0.58,0.05,
Saudi Arabia,Q4 2012,18.2,15.7,11.9,7.2,,36.4,"SAR 53,576.00",0.98,5.186,5.5240949,-2.6,110.4244915,17.32,7.98,6.12,-0.00895,"SAR 2,462,152.03","SAR 1,759,857.00",0.89,2.13,15.02,23.7,65.9,7.25,0.61,0.053,
Saudi Arabia,Q1 2013,17.4,16.2,13,7.4,75.9,33.2,"SAR 58,203.00",0.98,5.614,5.6504402,-0.3,112.8671801,19.9,3.45,2.29,-5.36186,"SAR 2,519,324.73","SAR 1,801,271.53",0.48,2.24,16.2,21.6,63.4,7.39,0.62,0.055,
Saudi Arabia,Q2 2013,17.5,16.2,12.6,7.3,77.1,30,"SAR 64,017.00",0.96,0.101,5.7767856,3,103.0996449,13.83,2.3,2.72,-11.72854,"SAR 2,590,772.43","SAR 1,834,635.37",0.66,2.25,16.25,19.4,64.5,7.32,0.6,0.059,
Saudi Arabia,Q3 2013,17.5,16.2,12.2,7.3,77.9,30.4,"SAR 66,542.00",0.96,2.319,5.6724969,4,110.2668681,-20.42,0.5,1.08,-8.71149,"SAR 2,637,971.15","SAR 1,858,093.97",0.71,2.16,15.61,20,65.8,7.29,0.61,0.06,
