country,period,rc_rwa,tier1_rwa,cap_res_dep,bankleverage,loansdeposit,liq_ast_liab,tot_mort_loans,interestrate,inflation,unemployment,gdpgrowth,oilprices,governmentspending,m2growth,m3growth,out_debt_sec,reserveassets,totalbankassets,netnplratio,roa,roe,v24,int_mar_gross,v26,ret_rel_loans_prop,ret_rel_loans_tot,housingprices,time,d_rc_rwa,d_tier1_rwa,d_cap_res_dep,d_bankleverage,d_loansdeposit,d_liq_ast_liab,d_tot_mort_loans,d_interestrate,d_inflation,d_unemployment,d_gdpgrowth,d_oilprices,d_governmentspending,d_m2growth,d_m3growth,d_out_debt_sec,d_reserveassets,d_totalbankassets,d_netnplratio,d_roa,d_roe,d_v24,d_int_mar_gross,d_v26,d_ret_rel_loans_prop,d_ret_rel_loans_tot,d_housingprices,d_d_rc_rwa,d_d_tier1_rwa,d_d_bankleverage,d_d_loansdeposit,d_d_liq_ast_liab,d_d_tot_mort_loans,d_d_interestrate,d_d_unemployment,d_d_gdpgrowth,d_d_oilprices,d_d_governmentspending,d_d_out_debt_sec,d_d_reserveassets,d_d_totalbankassets,d_d_netnplratio,d_d_roa,d_d_int_mar_gross,d_d_v26,d_d_ret_rel_loans_prop,d_d_ret_rel_loans_tot,policy,policy_mortgage_interaction
Saudi Arabia,Q1 2014,2.8848007,2.7911651,2.5494452,2.0149031,4.3027129,3.4965076,11.25244342800065,-.051293306,2.928,5.8013859,1.2,4.684083,38.880001,4.5999999,4.7199998,-8.6432896,14.82756761650105,14.51809760743069,-.52763277,.77932489,2.7788193,3.1000924,4.1635599,2.0188951,-.47803581,-2.7181005,4.5839467,2014q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Saudi Arabia,Q2 2014,2.8791983,2.7725887,2.5095992,2.0149031,4.3228073,3.4657359,11.34655205768455,-.051293306,2.6760001,6.034564,.40000001,4.7007132,19.280001,2.97,1.63,-2.1996,14.83935347323697,14.5370669919381,-.10536055,.77932489,2.7825391,3.0349529,4.1682143,2.0122328,-.49429631,-2.6736488,4.5941091,2014q2,-.0056023598,-.018576384,-.039845943,0,.020094395,-.030771732,.094108626,0,-.25199986,.23317814,-.80000007,.016630173,-19.6,-1.6299999,-3.0899997,6.4436893,.011785856,.018969385,.42227224,0,.0037198067,-.065139532,.0046544075,-.0066623688,-.016260505,.044451714,.010162354,,,,,,,,,,,,,,,,,,,,,0,
Saudi Arabia,Q3 2014,2.8791983,2.7850113,2.4849067,2.0014801,4.3294168,3.462606,11.3937815036745,-.051293306,1.295,5.8813353,1.7,4.630569,22.58,3.3800001,2.21,-6.3491001,14.84277320371151,14.55448083386657,-.21072103,.7275486,2.733068,3.0155349,4.1759243,2.0068707,-.51082557,-2.6450753,4.6180863,2014q3,0,.012422562,-.024692535,-.013422966,.0066094398,-.0031299591,.047229446,0,-1.3810002,-.15322876,1.3000001,-.070144176,3.2999992,.41000009,.58000004,-4.1494999,.0034197306,.017413842,-.10536049,-.05177629,-.04947114,-.019418001,.00770998,-.0053620338,-.016529262,.028573513,.02397728,.0056023598,.030998945,-.013422966,-.013484955,.027641773,-.04687918,0,-.3864069,2.1000001,-.086774349,22.9,-10.593189,-.0083661256,-.0015555434,-.52763271,-.05177629,.0030555725,.0013003349,-.00026875734,-.015878201,0,0
Saudi Arabia,Q4 2014,2.8848007,2.7850113,2.442347,2.0149031,4.3148179,3.5145261,11.45701098300847,-.11653383,1.149,5.7281065,-.1,4.3382411,-4.3600001,2.74,2.5699999,-12.0003,14.82577387000054,14.58679630369931,-2.8134108,.69813472,2.6953027,3.1045866,4.1972017,2.0175662,-.49429631,-2.5902672,4.6230102,2014q4,.0056023598,0,-.042559624,.013422966,-.014598846,.051920176,.063229479,-.065240525,-.14599991,-.15322876,-1.8000001,-.29232788,-26.940001,-.6400001,.3599999,-5.6512003,-.016999334,.03231547,-2.6026897,-.029413879,-.037765265,.089051723,.021277428,.010695457,.016529262,.05480814,.0049238205,.0056023598,-.012422562,.026845932,-.021208286,.055050135,.016000032,-.065240525,0,-3.1000001,-.2221837,-30.24,-1.5017004,-.020419065,.014901629,-2.4973292,.022362411,.013567448,.016057491,.033058524,.026234627,0,0
Saudi Arabia,Q1 2015,2.8735647,2.7725887,2.5572274,2.0149031,4.316154,3.4078419,11.47086311819773,-.19845095,.68400002,5.7281065,1.1,3.9994948,-3.8099999,4.0799999,3.3,-11.20434,14.77771877944551,14.60665666857956,-.34249035,.71294981,2.7113781,2.9806187,4.1666651,2.0135689,-.52763277,-2.6036901,4.6071682,2015q1,-.011235952,-.012422562,.11488032,0,.0013360977,-.10668421,.013852135,-.081917122,-.46500003,0,1.2,-.33874631,.55000019,1.3399999,.73000002,.79596043,-.04805509,.019860364,2.4709203,.014815092,.016075373,-.12396789,-.030536652,-.0039973259,-.033336461,-.013422966,-.015841961,-.016838312,-.012422562,-.013422966,.015934944,-.15860438,-.049377345,-.016676597,.15322876,3,-.046418428,27.490002,6.4471607,-.031055756,-.012455106,5.0736103,.044228971,-.051814079,-.014692783,-.049865723,-.068231106,0,0
Saudi Arabia,Q2 2015,2.8791983,2.766319,2.5257287,2.0014801,4.3280983,3.3603754,11.49728376898027,-.26136479,1.158,5.7281065,3.2,4.1359138,11.68,1.5700001,1.76,5.36413,14.74497476138253,14.6197483855766,-.12783338,.73236787,2.7337179,2.9338567,4.1666651,2.0055258,-.52763277,-2.6036901,4.603168,2015q2,.0056335926,-.0062696934,-.031498671,-.013422966,.011944294,-.047466516,.026420651,-.062913835,.47399998,0,2.0999999,.13641906,15.49,-2.5099998,-1.54,16.56847,-.032744016,.013091717,.21465696,.019418061,.022339821,-.04676199,0,-.0080430508,0,0,-.0040001869,.016869545,.0061528683,-.013422966,.010608196,.059217691,.012568516,.019003287,0,.89999986,.47516537,14.94,15.77251,.015311074,-.0067686476,-2.2562633,.0046029687,.030536652,-.0040457249,.033336461,.013422966,0,0
Saudi Arabia,Q3 2015,2.8791983,2.76001,2.4932055,2.0014801,4.3346729,3.3877745,11.51837061320612,-.1863296,1.421,5.6597185,.5,3.927856,1.35,1.0599999,.44,90.569801,14.71344576929802,14.62463549675856,-.072570682,.69813472,2.698673,2.9652731,4.19419,1.9974177,-.52763277,-2.5902672,4.5870061,2015q3,0,-.0063090324,-.032523155,0,.0065746307,.027399063,.021086844,.075035185,.26300001,-.068387985,-2.7,-.20805788,-10.33,-.51000011,-1.3199999,85.205673,-.031528991,.004887111,.0552627,-.034233153,-.035044909,.031416416,.027524948,-.008108139,0,.013422966,-.016161919,-.0056335926,-.000039339066,.013422966,-.0053696632,.07486558,-.0053338073,.13794902,-.068387985,-4.8000002,-.34447694,-25.82,68.637207,.0012150258,-.0082046054,-.15939426,-.053651214,.027524948,-.000065088272,0,.013422966,0,0
Saudi Arabia,Q4 2015,2.8959119,2.7850113,2.4932055,1.9600948,4.3820267,3.3068867,11.53764734542498,.095310204,1.5549999,5.591331,.1,3.7881727,-9.8100004,-4.0100002,-2.9000001,80.111229,14.65343640217071,14.61897042939606,-.010050327,.67294449,2.6658382,2.862201,4.2061839,1.9657128,-.59783697,-2.5902672,4.5757413,2015q4,.016713619,.025001287,0,-.041385293,.047353745,-.080887794,.019276733,.28163981,.13399994,-.068387508,-.40000001,-.13968325,-11.160001,-5.0700002,-3.3400002,-10.458572,-.060009368,-.0056650676,.062520355,-.025190234,-.032834768,-.10307217,.011993885,-.031704903,-.070204198,0,-.011264801,.016713619,.03131032,-.041385293,.040779114,-.10828686,-.0018101111,.20660463,4.7683716e-07,2.3,.068374634,-.83000088,-95.664246,-.028480377,-.010552179,.0072576553,.0090429187,-.015531063,-.023596764,-.070204198,-.013422966,0,0
Saudi Arabia,Q1 2016,2.8903718,2.7850113,2.6246686,1.9459101,4.4115853,3.2580965,11.57394530279617,.5423243,6.204,5.6182261,-.30000001,3.5610442,-24.950001,-.88999999,.18000001,28.36105,14.60467926526131,14.62575056715364,.019802609,.73716402,2.7080503,2.8390784,4.1972017,1.9459101,-.57981849,-2.5902672,4.5726471,2016q1,-.0055401325,0,.13146305,-.014184713,.029558659,-.048790216,.036297958,.44701409,4.6490002,.026895046,-.40000001,-.22712851,-15.14,3.1200004,3.0800002,-51.750179,-.048757136,.0067801378,.029852936,.064219534,.042212009,-.023122549,-.0089821815,-.01980269,.018018484,0,-.0030941963,-.022253752,-.025001287,.02720058,-.017795086,.032097578,.017021226,.16537428,.095282555,0,-.087445259,-3.9799995,-41.291607,.011252232,.012445206,-.032667421,.089409769,-.020976067,.011902213,.088222682,0,0,0
Saudi Arabia,Q2 2016,2.9069011,2.7972813,2.587764,1.9459101,4.4367514,3.3707383,11.59374940586315,.7275486,.421,5.6451211,1.4,3.8497415,-21.870001,1.36,-.28999999,21.32988,14.57567626627662,14.64097837160013,0,.7275486,2.6885276,2.9123507,4.215086,1.9459101,-.54472721,-2.5902672,4.5570297,2016q2,.016529322,.012269974,-.036904573,0,.025166035,.11264181,.019804103,.18522429,-5.783,.026895046,1.7,.28869724,3.0799999,2.25,-.47,-7.0311699,-.029003,.015227805,-.019802609,-.0096154213,-.019522667,.073272228,.017884254,0,.035091281,0,-.015617371,.022069454,.012269974,.014184713,-.0043926239,.16143203,-.016493855,-.2617898,0,2.1000001,.51582575,18.220001,44.719009,.019754136,.0084476676,-.049655546,-.073834956,.026866436,.01980269,.017072797,0,0,0
